[UE1] [2025-07-19 11:36:03] [  5]  84.00-85.00  sec  3.57 MBytes  29.9 Mbits/sec  0.369 ms  0/2584 (0%)
[UE1] [2025-07-19 11:36:04] [  5]  85.00-86.00  sec  3.56 MBytes  29.9 Mbits/sec  0.646 ms  7/2585 (0.27%)
[UE1] [2025-07-19 11:36:05] [  5]  86.00-87.00  sec  3.58 MBytes  30.1 Mbits/sec  0.287 ms  0/2596 (0%)
[UE1] [2025-07-19 11:36:06] [  5]  87.00-88.00  sec  3.58 MBytes  30.0 Mbits/sec  0.255 ms  0/2593 (0%)
[UE1] [2025-07-19 11:36:07] [  5]  88.00-89.00  sec  3.58 MBytes  30.0 Mbits/sec  0.202 ms  0/2589 (0%)
[UE1] [2025-07-19 11:36:08] [  5]  89.00-90.00  sec  3.58 MBytes  30.0 Mbits/sec  0.173 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:09] [  5]  90.00-91.00  sec  3.57 MBytes  30.0 Mbits/sec  0.272 ms  0/2588 (0%)
[UE1] [2025-07-19 11:36:10] [  5]  91.00-92.00  sec  3.58 MBytes  30.0 Mbits/sec  0.229 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:11] [  5]  92.00-93.00  sec  3.58 MBytes  30.0 Mbits/sec  0.261 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:12] [  5]  93.00-94.00  sec  3.58 MBytes  30.0 Mbits/sec  0.215 ms  0/2589 (0%)
[UE1] [2025-07-19 11:36:13] [  5]  94.00-95.00  sec  3.58 MBytes  30.0 Mbits/sec  0.164 ms  0/2589 (0%)
[UE1] [2025-07-19 11:36:14] [  5]  95.00-96.00  sec  3.58 MBytes  30.0 Mbits/sec  0.065 ms  0/2591 (0%)
[UE1] [2025-07-19 11:36:15] [  5]  96.00-97.00  sec  3.57 MBytes  29.9 Mbits/sec  0.244 ms  0/2584 (0%)
[UE1] [2025-07-19 11:36:16] [  5]  97.00-98.00  sec  3.58 MBytes  30.1 Mbits/sec  0.192 ms  0/2595 (0%)
[UE1] [2025-07-19 11:36:17] [  5]  98.00-99.00  sec  3.58 MBytes  30.0 Mbits/sec  0.106 ms  0/2590 (0%)
[UE1] [2025-07-19 11:36:18] [  5]  99.00-100.00 sec  3.57 MBytes  30.0 Mbits/sec  0.090 ms  0/2587 (0%)
